epoch,loss,val_loss
0,0.6941670951843262,0.5729110439618429
1,0.6879494752883911,0.5682678478104728
2,0.656460186958313,0.5582264283346752
3,0.6260537900924683,0.5644080203676981
4,0.6088368813991547,0.5689829242607903
5,0.5984094650745392,0.5759289534319014
6,0.5914031357765198,0.5791397950952015
7,0.5856601357460022,0.5819939266121577
8,0.5805658030509949,0.5866664463565463
9,0.5760592861175537,0.5861785601055811
10,0.5716492972373962,0.5896088154543013
11,0.5678358912467957,0.5883333649900224
12,0.5640726828575134,0.5907123822068411
13,0.5606847167015075,0.5900242049542684
14,0.5573231201171875,0.5905852771940685
15,0.5542978382110596,0.5899559316181001
16,0.5514138698577881,0.5887751125154042
17,0.5488578300476075,0.5889207725487058
18,0.5463231091499329,0.5832938367412204
19,0.544453718662262,0.5903933123936729
20,0.541278627872467,0.5654198139432877
21,0.5440259504318238,0.5966775980260637
22,0.5402906765937805,0.5826766069919344
