epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error
0,1.0493611485565302,1.049361164999191,215264.66481082374,1.9602982426968572,0.8399180751858335,0.8399180842168403,173195.7383404356,1.3220525618755457
1,0.8300633323146922,0.8300633268338053,125680.41241618774,1.2896431072461652,0.6990914886648004,0.699091495889606,109457.86801609848,0.9992141524950663
2,0.7592689321872375,0.7592689495433793,91211.84626436782,1.1219517385365863,0.6385161154197924,0.6385161154197924,80827.57528409091,0.887130339940389
3,0.7299908267127143,0.7299908331070823,75836.611170977,1.0626960611434733,0.6084569313309409,0.6084569222999342,65449.217447916664,0.8385237527616096
4,0.7144586738498732,0.7144586720229109,67897.08273467433,1.0352843874259012,0.5917922980857618,0.5917922926671577,56236.66826467803,0.8144772955865571
5,0.7046686136859587,0.7046686136859587,63122.53050167624,1.0205588169481563,0.5815167174194799,0.5815167246442853,50384.220673532196,0.8014550516099641
6,0.6976222567174627,0.6976222644820524,60064.73480902778,1.0118026587241453,0.5745187311461477,0.5745187257275437,46743.93525094697,0.793823545629328
7,0.6920739622408403,0.6920739658947649,57935.842328184866,1.006362929654761,0.5693592844587384,0.5693592916835438,44342.81356534091,0.7892604849555276
8,0.6874537082010759,0.687453689931453,56437.50055375958,1.0029629635628157,0.5655360835971255,0.5655360655351118,42999.55292672822,0.7869531494198423
9,0.683415133948527,0.6834151280108997,55296.901206297895,1.0009470378758807,0.5624409498590411,0.5624409498590411,42240.373076467804,0.7858386545470266
10,0.6798016394691906,0.6798016408394123,54543.24130447797,0.999932913944639,0.5599285382213015,0.5599285454461069,41990.401041666664,0.7856981447248748
11,0.676506407758742,0.6765064031913363,54092.53559027778,0.9996878219290255,0.5579278938698046,0.5579279019977107,42245.811005563446,0.7863971590995789
12,0.6734712207226005,0.6734712161551947,53916.42311721743,1.000051646625402,0.5563331390872146,0.5563331616647316,42797.500932173294,0.7878082846150254
13,0.6706855782375482,0.6706855773240671,53932.97858297414,1.000951340143708,0.5550107847560536,0.5550107928839597,43613.53249289773,0.7895860292694785
14,0.6680997024322378,0.6680997202451202,54161.41380806993,1.002242984899616,0.5540007479263075,0.5540007569573142,44655.813846472534,0.7918225237817476
15,0.6657088527962622,0.665708844574932,54544.99979046935,1.0038474167900524,0.5532747507095337,0.5532747606436411,45900.43708570076,0.794500287735101
16,0.6635179779995447,0.6635179757158418,55034.03180375958,1.0057236956453872,0.5527612648226998,0.5527612594040957,47209.048088304924,0.7973604400952657
17,0.66149592662223,0.6614959261654894,55682.22789451628,1.0077532061671846,0.5524350242181257,0.5524350368615353,48573.168087121216,0.8003972642349474
18,0.6596349058708468,0.659634909981512,56412.333512931036,1.0099033503240096,0.552342255007137,0.5523422504916335,50065.45272549716,0.8037256941650853
19,0.6579194994950203,0.657919500865242,57268.318890684866,1.012084194983559,0.5524786006320607,0.5524786051475641,51566.72808652936,0.8073876319509564
20,0.6563594641585003,0.6563594641585003,58210.412296455936,1.0142533308701498,0.5527639569658221,0.5527639533534194,53205.18764796401,0.8111116831952875
21,0.6549120895935658,0.6549120831991978,59183.79798251916,1.0163092921520103,0.5531531608465946,0.5531531463969838,54860.03188624526,0.8147867466464187
22,0.6535458552197935,0.6535458584169775,60175.769576149425,1.0181617876122282,0.5536619713812163,0.5536619605440082,56507.876080137314,0.8184863437305797
23,0.652259974758287,0.652259974758287,61160.58128292624,1.0198068132345703,0.5542528827985128,0.5542528918295195,58078.37835878314,0.8221319046887484
24,0.6510206295384301,0.6510206359327981,62153.482429358235,1.0211609928543997,0.5549231749592405,0.5549231812809453,59548.198212594696,0.8257254127300147
25,0.6498269482133946,0.6498269550645032,63155.15090696839,1.0222284828109303,0.5556513369083405,0.5556513278773336,61037.405243844696,0.8292243534868414
26,0.6486430806446806,0.6486430815581617,64170.06878591954,1.0229572484776435,0.5564723159327651,0.5564723123203624,62586.781841856064,0.8327787951989607
27,0.6474676461055361,0.647467641994871,65060.4722970546,1.023363553244492,0.5573514663811886,0.5573514681873899,64010.57436671401,0.8362943891322974
28,0.6462752065439333,0.6462752015197871,65958.28057650862,1.0234028783794564,0.5582026929566355,0.5582026884411321,65379.88917495265,0.8395544182170521
